symbol,type,expiration_date,short_strike_price,short_mark_price,short_ask_price,short_bid_price,short_spread,short_volume,short_open_interest,short_delta,short_gamma,short_rho,short_theta,short_vega,long_strike_price,long_mark_price,long_ask_price,long_bid_price,long_spread,long_volume,long_open_interest,long_delta,long_gamma,long_rho,long_theta,long_vega,trade_strike_width,trade_limit_price,trade_spread,trade_spread_ratio,avg_trade_volume,trade_expected_dollar_return,trade_expected_percent_return,trade_open_id,trade_close_id
SPY,call credit spread,2022-02-25,448.0,5.63,5.67,5.59,0.08,64.0,230.0,0.285221,0.010311,0.102734,-0.173958,0.431525,449.0,5.265,5.3,5.23,0.07,207.0,235.0,0.272722,0.010156,0.098301,-0.169071,0.422092,1.0,0.365,0.44,0.44,135.5,0.260894,0.410857,61eec3ce-ee34-427a-8c9a-6d991f6cef2a,61eec6db-9ca4-4153-97cc-a2b0976f3481
QQQ,call credit spread,2022-02-25,370.0,4.475,4.52,4.43,0.09,244.0,1775.0,0.277525,0.012329999999999999,0.077138,-0.151399,0.339604,371.0,4.155,4.19,4.12,0.07,0.0,788.0,0.26450999999999997,0.012169,0.073632,-0.14621199999999998,0.33165300000000003,1.0,0.32,0.4,0.4,122.0,0.231192,0.339988,61f17e06-e33b-4d1f-a546-088fe6ddb094,61f17f33-0c9f-4e24-9ce3-fdb332c76266
IWM,call credit spread,2022-03-04,200.0,3.36,3.39,3.33,0.06,14.0,123.0,0.305925,0.019426,0.052787,-0.090071,0.206735,201.0,3.04,3.07,3.01,0.06,5.0,153.0,0.286114,0.01904,0.049478,-0.086409,0.200519,1.0,0.32,0.38,0.38,9.5,0.222104,0.326624,61f40702-cda6-44b4-9177-980da651b841,61f4082f-5882-4239-8f1a-6b8d1bdec092
QQQ,call credit spread,2022-03-04,365.0,4.81,4.85,4.77,0.08,26.0,345.0,0.28515100000000004,0.012039,0.090589,-0.136897,0.365721,366.0,4.47,4.51,4.43,0.08,30.0,158.0,0.271951,0.011890000000000001,0.086521,-0.132348,0.357425,1.0,0.34,0.42,0.42,28.0,0.243049,0.368256,61f43c75-234f-4cf9-bf90-016a7d6e8a99,61f45518-48b8-409b-9417-37c727d07a76
QQQ,call credit spread,2022-03-04,380.0,4.01,4.05,3.97,0.08,431.0,689.0,0.291526,0.01518,0.08494700000000001,-0.129098,0.36151,381.0,3.68,3.72,3.64,0.08,2.0,338.0,0.275143,0.014895,0.08026,-0.124457,0.351619,1.0,0.33,0.41,0.41,216.5,0.233796,0.34895,61fac121-0bef-4f0c-84a0-3c19b516c080,61fac72f-2a40-40e5-8826-c57fa7db6e8d
SPY,call credit spread,2022-03-25,449.0,4.695,4.72,4.67,0.05,118.0,238.0,0.292545,0.013038999999999999,0.10443499999999999,-0.145619,0.435708,450.0,4.35,4.38,4.32,0.06,10.0,690.0,0.278504,0.012889,0.099548,-0.140561,0.425702,1.0,0.345,0.4,0.4,64.0,0.24407199999999998,0.372629,6214f83d-25e8-4d98-920a-58bc848ba0fc,6214f96a-dcaf-4c94-8357-6dcd85d6ac8c
QQQ,call credit spread,2022-03-25,355.0,4.875,4.91,4.84,0.07,63.0,297.0,0.30674,0.013572,0.082464,-0.15073699999999998,0.344167,356.0,4.525,4.56,4.49,0.07,0.0,295.0,0.292544,0.01343,0.078769,-0.145922,0.336935,1.0,0.35,0.42,0.42,31.5,0.242641,0.373294,62164822-8889-49ca-bcfa-b07557414342,6216494f-9fe8-4ec6-881b-91e411999af0
QQQ,call credit spread,2022-04-01,347.0,5.565,5.6,5.53,0.07,287.0,151.0,0.30085300000000004,0.011385,0.092394,-0.147869,0.360275,347.5,5.395,5.43,5.36,0.07,14.0,49.0,0.294723,0.011318,0.090567,-0.145976,0.35690700000000003,0.5,0.17,0.24,0.48,150.5,0.118855,0.360167,6217c54a-ad22-4486-8699-577f89ec2b8a,6217d105-85d8-44d6-85c3-6c0a7582f962
IWM,call credit spread,2022-04-01,210.0,2.835,2.86,2.81,0.05,36.0,259.0,0.292489,0.021358,0.053664,-0.078925,0.21358600000000005,211.0,2.515,2.54,2.49,0.05,0.0,20.0,0.269784,0.020795,0.049595,-0.07496699999999999,0.205412,1.0,0.32,0.37,0.37,18.0,0.226404,0.332946,621907b8-9819-4c09-8c91-9035568ff89b,62190a11-d793-4569-8991-1ad1f69b8134
SPY,call credit spread,2022-04-08,453.0,5.385,5.41,5.36,0.05,49.0,493.0,0.30757399999999996,0.01242,0.127725,-0.138424,0.483687,454.0,5.04,5.07,5.01,0.06,1.0,192.0,0.2946,0.012294,0.122478,-0.13451,0.47445600000000004,1.0,0.345,0.4,0.4,25.0,0.238887,0.364713,62210077-75ff-463b-b79e-dde44287616c,622101a4-2da7-4dbe-ab29-a96f052de3d7
