symbol,type,expiration_date,short_strike_price,short_mark_price,short_ask_price,short_bid_price,short_spread,short_volume,short_open_interest,short_delta,short_gamma,short_rho,short_theta,short_vega,long_strike_price,long_mark_price,long_ask_price,long_bid_price,long_spread,long_volume,long_open_interest,long_delta,long_gamma,long_rho,long_theta,long_vega,trade_strike_width,trade_limit_price,trade_spread,trade_spread_ratio,avg_trade_volume,trade_expected_dollar_return,trade_expected_percent_return,trade_open_id,trade_close_id
VXX,put credit spread,2022-03-04,21.5,2.435,2.46,2.41,0.05,15.0,733.0,-0.319681,0.038185,-0.009731,-0.047475,0.026558,21.0,2.13,2.16,2.1,0.06,0.0,354.0,-0.297563,0.038007,-0.008919,-0.044793,0.025726,0.5,0.305,0.36,0.72,7.5,0.207497,1.0640889999999998,61f411ce-dc33-4677-98a2-44130ede1b9b,61f46902-b7d9-438d-9de0-c181eb13aa18
LCID,put credit spread,2022-03-04,25.0,2.13,2.26,2.0,0.26,385.0,789.0,-0.311874,0.039943,-0.008914,-0.051916,0.028238,24.0,1.76,1.94,1.58,0.36,83.0,18.0,-0.269316,0.036824,-0.007631999999999998,-0.049085000000000004,0.026362,1.0,0.37,0.68,0.68,234.0,0.254607,0.40413699999999997,61fac128-20c3-4d39-863c-311684403c85,61fae32a-805b-46d6-97c1-8307d3f57ef2
UBER,put credit spread,2022-03-11,35.0,2.06,2.12,2.0,0.12,13001.0,208.0,-0.312243,0.039384,-0.012285,-0.049536,0.040062,34.0,1.745,1.8,1.69,0.11,1.0,465.0,-0.272733,0.036177,-0.010688,-0.047553,0.037618,1.0,0.315,0.43,0.43,6501.0,0.216643,0.316268,620173d6-8e97-4a74-b819-965be20ce44c,62017504-21f7-45d0-b073-73309eaec4fd
VXX,put credit spread,2022-03-18,21.0,2.255,2.3,2.21,0.09,2446.0,2525.0,-0.322843,0.041485,-0.009364,-0.044322,0.02584,20.0,1.67,1.71,1.63,0.08,1310.0,15813.0,-0.272092,0.040292,-0.0076760000000000005,-0.039028,0.023928,1.0,0.585,0.67,0.67,1878.0,0.39613699999999996,0.9545469999999999,6206c031-485f-405b-b3c3-835ab3ba696c,6206c15e-8f49-42f7-b18a-0fffd0fe65f1
PTON,put credit spread,2022-03-18,31.0,2.175,2.23,2.12,0.11,539.0,846.0,-0.286977,0.032955,-0.011726,-0.05026,0.036942,30.0,1.875,1.9,1.85,0.05,1522.0,7091.0,-0.252303,0.030124,-0.010282,-0.048327,0.034663,1.0,0.3,0.38,0.38,1030.5,0.213907,0.305581,6206c4f5-385e-4379-a6c6-fa2193a9b261,6206c622-5bd8-4362-8ccb-4bdc0052b0be
VXX,put credit spread,2022-04-01,22.0,1.715,1.74,1.69,0.05,300.0,270.0,-0.304046,0.046781,-0.008108,-0.040545,0.025515,21.5,1.465,1.48,1.45,0.03,0.0,268.0,-0.279062,0.046405,-0.0073269999999999984,-0.037728,0.024436000000000003,0.5,0.25,0.29,0.58,150.0,0.173988,0.695954,621cde6e-819d-4b85-84a2-c0f967f15b1e,621cdf9b-1bfd-426b-8b1f-14b3919ec046
SOFI,put credit spread,2022-04-01,11.0,0.685,0.72,0.65,0.07,40.0,614.0,-0.286953,0.102547,-0.003504,-0.018698,0.012095,10.5,0.525,0.55,0.5,0.05,1.0,513.0,-0.233358,0.090708,-0.002823,-0.017075999999999997,0.01087,0.5,0.16,0.22,0.44,20.5,0.114088,0.335552,621f8195-03af-4ff7-8e98-3f6db5478b5c,621f82c2-85a2-4112-8fa3-c9f8a2e9d72e
AMD,put credit spread,2022-04-08,110.0,4.875,4.95,4.8,0.15,38.0,107.0,-0.313313,0.016245,-0.041631,-0.10653800000000001,0.132078,109.0,4.525,4.7,4.35,0.35,0.0,24.0,-0.298116,0.015966,-0.039448000000000004,-0.103735,0.129021,1.0,0.35,0.6,0.6,19.0,0.24034,0.369755,6220d153-f236-4033-8b0f-33d1a395bfda,6220d604-6979-44dc-8566-1ab8dc85f3ea
NIO,put credit spread,2022-04-08,17.0,1.345,1.39,1.3,0.09,24.0,271.0,-0.314523,0.063252,-0.006393,-0.030951,0.019789,16.0,1.035,1.1,0.97,0.13,12.0,126.0,-0.252232,0.054699,-0.005085,-0.028953,0.017778,1.0,0.31,0.42,0.42,18.0,0.212498,0.307968,62262f7b-fe5c-459b-a44e-8e6cf360b0ef,622630a8-a10a-45f5-8937-baa613917bff
VXX,put credit spread,2022-04-08,25.0,2.005,2.06,1.95,0.11,116.0,450.0,-0.28684299999999996,0.036416000000000004,-0.008711,-0.050947000000000006,0.028377999999999997,24.5,1.74,1.79,1.69,0.1,14.0,41.0,-0.264419,0.035920999999999995,-0.007929,-0.047675999999999996,0.027246,0.5,0.265,0.37,0.74,65.0,0.188987,0.804198,622768f2-7ad3-4a97-a3f8-0f155e30630d,62278d4c-870a-4df1-84ca-52873eb0da44
GLD,put credit spread,2022-04-08,180.0,2.385,2.46,2.31,0.15,104.0,158.0,-0.29535,0.027888,-0.047504000000000005,-0.070453,0.184906,179.0,2.055,2.12,1.99,0.13,0.0,47.0,-0.266224,0.026731,-0.042737,-0.066487,0.17582799999999998,1.0,0.33,0.47,0.47,52.0,0.232534,0.347066,6228ba7e-3a2d-44e7-92c5-52e7d796a37f,6228bbab-3465-475f-98b5-13f2f1a7de7c
NIO,put credit spread,2022-04-22,19.0,1.515,1.61,1.42,0.19,184.0,167.0,-0.310849,0.055137,-0.007773,-0.032154,0.0231,18.0,1.18,1.27,1.09,0.18,50.0,359.0,-0.253819,0.048794,-0.006288,-0.029887,0.02095,1.0,0.335,0.52,0.52,117.0,0.230866,0.347166,6234b24d-30e6-4c46-a9b3-603a678b311d,6234b4a6-f9be-45ef-b8b5-e0e9e9cc12f4
BABA,put credit spread,2022-04-22,98.0,5.025,5.2,4.85,0.35,17.0,304.0,-0.289397,0.013945,-0.032158,-0.129787,0.110122,97.0,4.7,4.9,4.5,0.4,3.0,56.0,-0.27460100000000004,0.013541999999999998,-0.030449,-0.127057,0.107373,1.0,0.325,0.7,0.7,10.0,0.230946,0.342142,62387e1d-109a-4b0a-a708-457f7f623157,62387f4a-3452-46ee-8f23-6b81e37b70e4
TLRY,put credit spread,2022-05-06,7.0,0.65,0.68,0.62,0.06,50.0,159.0,-0.277923,0.109252,-0.0028940000000000003,-0.014183000000000001,0.008607,6.5,0.43,0.48,0.38,0.1,0.0,84.0,-0.20852199999999999,0.095041,-0.002124,-0.011939,0.007409999999999998,0.5,0.22,0.3,0.6,25.0,0.158857,0.567346,6245acee-0753-4de5-9f31-228dbec3cd07,6245af47-6e10-4fa1-ba42-b2d18c7bd606
TQQQ,put credit spread,2022-05-27,40.0,3.15,3.3,3.0,0.3,33.0,380.0,-0.315913,0.027277,-0.016474000000000003,-0.065818,0.048717,39.0,2.835,2.98,2.69,0.29,5.0,5.0,-0.288107,0.025592,-0.014991999999999997,-0.064583,0.046741000000000005,1.0,0.315,0.61,0.61,19.0,0.215487,0.31458,6262c7a4-2a12-4481-b977-734229847ad3,6262cb29-8f33-4116-a886-d0294b528266
TLT,put credit spread,2022-05-27,119.0,1.81,1.87,1.75,0.12,31.0,153.0,-0.324943,0.043805000000000004,-0.035606,-0.047129000000000004,0.128894,118.0,1.5,1.59,1.41,0.18,0.0,86.0,-0.28210799999999997,0.040877,-0.030851,-0.04452,0.120999,1.0,0.31,0.46,0.46,15.5,0.20926799999999998,0.303286,6267f907-6727-472c-b065-7ea7de2c24bd,6267fc8c-f39f-49f8-9f22-7255c85a7ac1
AMD,put credit spread,2022-06-03,85.0,4.2,4.25,4.15,0.1,36.0,667.0,-0.32174200000000003,0.019955,-0.028724,-0.102953,0.095719,84.0,3.85,3.9,3.8,0.1,1.0,157.0,-0.300838,0.019257,-0.026797,-0.100649,0.092989,1.0,0.35,0.45,0.45,18.5,0.23739,0.365216,62713e16-19cf-4ea8-835b-9cab27986a6f,62714070-f04c-4a73-a01f-fe69131a2c87
ARKK,put credit spread,2022-06-03,45.0,2.315,2.37,2.26,0.11,212.0,297.0,-0.300186,0.032217,-0.014129,-0.06221,0.049242,44.0,2.01,2.08,1.94,0.14,0.0,11.0,-0.267405,0.030049,-0.01254,-0.059709000000000005,0.046588,1.0,0.305,0.43,0.43,106.0,0.213443,0.307113,6272ab8f-7b45-414d-a2b7-e77d34b0c775,6272c42e-5278-4f87-82fc-c9ff59266a60
QQQ,put credit spread,2022-06-10,310.0,7.615,7.66,7.57,0.09,55.0,166.0,-0.321615,0.010437,-0.111022,-0.169186,0.365693,309.0,7.295,7.34,7.25,0.09,10.0,8.0,-0.310257,0.01021,-0.107092,-0.167753,0.36029,1.0,0.32,0.41,0.41,32.5,0.217083,0.31924,6273d300-1deb-4c97-849b-33a4717dd29c,6273da0f-c965-49dc-a229-7cd3e0f14a9b
